station,hour,rides
Howard at 2nd,21,74
Howard at 2nd,22,40
Howard at 2nd,23,22
Japantown,00,12
Japantown,01,7
Japantown,02,4
Japantown,04,1
Japantown,06,3
Japantown,07,13
Japantown,08,14
Japantown,09,20
Japantown,10,17
Japantown,11,28
Japantown,12,31
Japantown,13,40
Japantown,14,10
Japantown,15,41
Japantown,16,74
Japantown,17,53
Japantown,18,44
Japantown,19,32
Japantown,20,17
Japantown,21,19
Japantown,22,6
Japantown,23,10
Market at 10th,00,17
Market at 10th,01,3
Market at 10th,02,15
Market at 10th,03,2
Market at 10th,04,1
Market at 10th,05,4
Market at 10th,06,19
Market at 10th,07,145
Market at 10th,08,228
Market at 10th,09,323
Market at 10th,10,212
Market at 10th,11,236
Market at 10th,12,239
Market at 10th,13,218
Market at 10th,14,161
Market at 10th,15,157
Market at 10th,16,314
Market at 10th,17,406
Market at 10th,18,356
Market at 10th,19,160
Market at 10th,20,119
Market at 10th,21,95
Market at 10th,22,57
Market at 10th,23,24
Market at 4th,00,30
Market at 4th,01,14
Market at 4th,02,8
Market at 4th,03,2
Market at 4th,04,1
Market at 4th,05,4
Market at 4th,06,72
Market at 4th,07,187
Market at 4th,08,245
Market at 4th,09,344
Market at 4th,10,260
Market at 4th,11,280
Market at 4th,12,389
Market at 4th,13,379
Market at 4th,14,332
Market at 4th,15,355
Market at 4th,16,464
Market at 4th,17,438
Market at 4th,18,413
Market at 4th,19,256
Market at 4th,20,209
Market at 4th,21,191
Market at 4th,22,107
Market at 4th,23,50
Market at Sansome,00,34
Market at Sansome,01,22
Market at Sansome,02,5
Market at Sansome,05,6
Market at Sansome,06,29
Market at Sansome,07,141
Market at Sansome,08,473
Market at Sansome,09,629
Market at Sansome,10,328
Market at Sansome,11,276
Market at Sansome,12,389
Market at Sansome,13,380
Market at Sansome,14,313
Market at Sansome,15,340
Market at Sansome,16,604
Market at Sansome,17,725
Market at Sansome,18,450
Market at Sansome,19,319
Market at Sansome,20,228
Market at Sansome,21,100
Market at Sansome,22,84
Market at Sansome,23,47
Mechanics Plaza (Market at Battery),00,11
Mechanics Plaza (Market at Battery),01,6
Mechanics Plaza (Market at Battery),02,14
Mechanics Plaza (Market at Battery),03,3
Mechanics Plaza (Market at Battery),04,1
Mechanics Plaza (Market at Battery),05,4
Mechanics Plaza (Market at Battery),06,50
Mechanics Plaza (Market at Battery),07,74
Mechanics Plaza (Market at Battery),08,143
Mechanics Plaza (Market at Battery),09,167
Mechanics Plaza (Market at Battery),10,129
Mechanics Plaza (Market at Battery),11,217
Mechanics Plaza (Market at Battery),12,261
Mechanics Plaza (Market at Battery),13,212
Mechanics Plaza (Market at Battery),14,186
Mechanics Plaza (Market at Battery),15,197
Mechanics Plaza (Market at Battery),16,305
Mechanics Plaza (Market at Battery),17,408
Mechanics Plaza (Market at Battery),18,207
Mechanics Plaza (Market at Battery),19,116
Mechanics Plaza (Market at Battery),20,63
Mechanics Plaza (Market at Battery),21,45
Mechanics Plaza (Market at Battery),22,28
Mechanics Plaza (Market at Battery),23,21
Mezes Park,08,1
Mezes Park,09,2
MLK Library,00,9
MLK Library,01,4
MLK Library,02,2
MLK Library,04,1
MLK Library,06,1
MLK Library,07,7
MLK Library,08,8
MLK Library,09,20
MLK Library,10,26
MLK Library,11,31
MLK Library,12,44
MLK Library,13,40
MLK Library,14,42
MLK Library,15,41
MLK Library,16,47
MLK Library,17,44
MLK Library,18,39
MLK Library,19,26
MLK Library,20,38
MLK Library,21,30
MLK Library,22,12
MLK Library,23,16
Mountain View Caltrain Station,00,2
Mountain View Caltrain Station,01,11
Mountain View Caltrain Station,02,1
Mountain View Caltrain Station,05,1
Mountain View Caltrain Station,06,29
Mountain View Caltrain Station,07,55
Mountain View Caltrain Station,08,123
Mountain View Caltrain Station,09,255
Mountain View Caltrain Station,10,109
Mountain View Caltrain Station,11,40
Mountain View Caltrain Station,12,39
Mountain View Caltrain Station,13,30
Mountain View Caltrain Station,14,26
Mountain View Caltrain Station,15,38
Mountain View Caltrain Station,16,75
Mountain View Caltrain Station,17,90
Mountain View Caltrain Station,18,122
Mountain View Caltrain Station,19,50
Mountain View Caltrain Station,20,20
Mountain View Caltrain Station,21,15
Mountain View Caltrain Station,22,16
Mountain View Caltrain Station,23,7
Mountain View City Hall,01,1
Mountain View City Hall,04,1
Mountain View City Hall,05,11
Mountain View City Hall,06,14
Mountain View City Hall,07,39
Mountain View City Hall,08,36
Mountain View City Hall,09,19
Mountain View City Hall,10,20
Mountain View City Hall,11,11
Mountain View City Hall,12,19
Mountain View City Hall,13,18
Mountain View City Hall,14,22
Mountain View City Hall,15,35
Mountain View City Hall,16,100
Mountain View City Hall,17,119
Mountain View City Hall,18,82
Mountain View City Hall,19,41
Mountain View City Hall,20,23
Mountain View City Hall,21,11
Mountain View City Hall,22,8
Palo Alto Caltrain Station,00,2
Palo Alto Caltrain Station,01,4
Palo Alto Caltrain Station,02,5
Palo Alto Caltrain Station,06,2
Palo Alto Caltrain Station,07,13
Palo Alto Caltrain Station,08,71
Palo Alto Caltrain Station,09,88
Palo Alto Caltrain Station,10,25
Palo Alto Caltrain Station,11,23
Palo Alto Caltrain Station,12,29
Palo Alto Caltrain Station,13,15
Palo Alto Caltrain Station,14,15
Palo Alto Caltrain Station,15,21
Palo Alto Caltrain Station,16,15
Palo Alto Caltrain Station,17,43
Palo Alto Caltrain Station,18,28
Palo Alto Caltrain Station,19,13
Palo Alto Caltrain Station,20,9
Palo Alto Caltrain Station,21,6
Palo Alto Caltrain Station,22,4
Park at Olive,01,3
Park at Olive,02,1
Park at Olive,03,1
Park at Olive,04,1
Park at Olive,05,1
Park at Olive,07,1
Park at Olive,08,7
Park at Olive,09,19
Park at Olive,10,11
Park at Olive,11,14
Park at Olive,12,18
Park at Olive,13,18
Park at Olive,14,17
Park at Olive,15,16
Park at Olive,16,15
Park at Olive,17,17
Park at Olive,18,16
Park at Olive,19,7
Park at Olive,20,3
Park at Olive,21,2
Park at Olive,23,1
Paseo de San Antonio,00,2
Paseo de San Antonio,01,7
Paseo de San Antonio,06,3
Paseo de San Antonio,07,141
Paseo de San Antonio,08,33
Paseo de San Antonio,09,14
Paseo de San Antonio,10,31
Paseo de San Antonio,11,39
Paseo de San Antonio,12,44
Paseo de San Antonio,13,59
Paseo de San Antonio,14,52
Paseo de San Antonio,15,54
Paseo de San Antonio,16,35
Paseo de San Antonio,17,64
Paseo de San Antonio,18,50
Paseo de San Antonio,19,53
Paseo de San Antonio,20,33
Paseo de San Antonio,21,20
Paseo de San Antonio,22,3
Paseo de San Antonio,23,8
Post at Kearney,00,13
Post at Kearney,01,16
Post at Kearney,02,5
Post at Kearney,03,2
Post at Kearney,04,10
Post at Kearney,05,3
Post at Kearney,06,13
Post at Kearney,07,25
Post at Kearney,08,83
Post at Kearney,09,150
Post at Kearney,10,122
Post at Kearney,11,145
Post at Kearney,12,264
Post at Kearney,13,201
Post at Kearney,14,155
Post at Kearney,15,183
Post at Kearney,16,225
Post at Kearney,17,306
Post at Kearney,18,225
Post at Kearney,19,159
Post at Kearney,20,84
Post at Kearney,21,51
Post at Kearney,22,37
Post at Kearney,23,26
Powell at Post (Union Square),00,29
Powell at Post (Union Square),01,17
Powell at Post (Union Square),02,18
Powell at Post (Union Square),03,3
Powell at Post (Union Square),04,1
Powell at Post (Union Square),05,21
Powell at Post (Union Square),06,59
Powell at Post (Union Square),07,207
Powell at Post (Union Square),08,295
Powell at Post (Union Square),09,272
